function name,avg time,std dev
serial_copy,12.731293666666668,0.3688436430268702
vector_copy,0.5103476666666666,0.08136476609278326
look_and_say_sequence,1.0344186666666666,0.17719869844142008
count_words_dictionary,0.4742756666666667,0.051924435484012106
count_words_set,0.42418933333333336,0.0031238992194584864
iterative_fibonacci,4e-06,4.358898943540674e-06
recursive_fibonacci,0.05668600000000001,0.0015223583677964922
matrix_multiplication,1.9868983333333334,0.03684697412723776
belief_propagation,6.236190333333333,0.04442883002435831
markov_chain_function,0.024705,0.0017648648673482049
compute_FFT,20.482466666666667,15.877240770885896
loop_solver,113.304683,3.0652165588532236
vectorized_solver,1.2359346666666666,0.019055540515381168
compute_quadrature,0.013216666666666668,0.01449646582216967
evaluate_functions,33.45037833333333,0.8281213632175741
